Date,Open,High,Low,Close,Adj Close,Volume,Amount
2017-08-11,5.309999942779541,5.457499980926514,5.267499923706055,5.440000057220459,4.568860054016113,6477200,34774467.34557152
2017-08-14,5.487500190734863,5.497499942779541,5.429999828338623,5.462500095367432,4.587756633758545,6135600,33557897.33777046
2017-08-15,5.425000190734863,5.442500114440918,5.195000171661377,5.232500076293945,4.394587993621826,15553600,82803480.15079498
2017-08-16,5.28000020980835,5.372499942779541,5.269999980926514,5.347499847412109,4.491171360015869,9757600,51886037.95347214
2017-08-17,5.34250020980835,5.414999961853027,5.25,5.275000095367432,4.430281162261963,7758400,41279537.51792908
2017-08-18,5.262499809265137,5.332499980926514,5.242499828338623,5.304999828338623,4.455477237701416,8494000,44896097.5754261
2017-08-21,5.289999961853027,5.340000152587891,5.242499828338623,5.244999885559082,4.405086040496826,6532400,34486988.969659805
2017-08-22,5.28000020980835,5.422500133514404,5.272500038146973,5.409999847412109,4.543663501739502,9895200,52902213.566207886
2017-08-23,5.397500038146973,5.454999923706055,5.302499771118164,5.369999885559082,4.510068893432617,9731600,52368171.5719223
2017-08-24,5.4375,5.53000020980835,5.412499904632568,5.445000171661377,4.57305908203125,16938400,92420146.21152878
2017-08-25,4.974999904632568,4.985000133514404,4.679999828338623,4.849999904632568,4.073339462280273,82002800,399558638.30776215
2017-08-28,4.852499961853027,4.925000190734863,4.739999771118164,4.787499904632568,4.020848274230957,20913600,100934261.10248566
2017-08-29,4.732500076293945,4.767499923706055,4.659999847412109,4.6875,3.936861276626587,18670800,87974475.0377655
2017-08-30,4.6875,4.742499828338623,4.670000076293945,4.697500228881836,3.945260763168335,8840400,41544355.045080185
2017-08-31,4.707499980926514,4.71750020980835,4.617499828338623,4.625,3.8843705654144287,10518400,49088058.05015564
2017-09-01,4.650000095367432,4.71999979019165,4.650000095367432,4.667500019073486,3.9200644493103027,9377200,43809106.25
2017-09-05,4.672500133514404,4.739999771118164,4.639999866485596,4.735000133514404,3.9767556190490723,10584000,49711724.747657776
2017-09-06,4.75,4.837500095367432,4.747499942779541,4.835000038146973,4.060740947723389,11683200,55991736.222839355
2017-09-07,4.755000114440918,4.835000038146973,4.702499866485596,4.712500095367432,4.037182807922363,11212000,53271015.32077789
2017-09-08,4.712500095367432,4.797500133514404,4.684999942779541,4.787499904632568,4.101434230804443,8876800,42125964.16931152
2017-09-11,4.802499771118164,4.862500190734863,4.78249979019165,4.800000190734863,4.112143516540527,8818400,42433038.373851776
2017-09-12,4.815000057220459,4.985000133514404,4.802499771118164,4.882500171661377,4.182820796966553,13388000,65216295.44687271
2017-09-13,4.900000095367432,5.010000228881836,4.887499809265137,5.005000114440918,4.287765979766846,7023600,34771210.18538475
2017-09-14,5.014999866485596,5.074999809265137,4.972499847412109,5.019999980926514,4.30061674118042,7686800,38592539.297008514
2017-09-15,5.017499923706055,5.110000133514404,5.0,5.072500228881836,4.345592975616455,10021600,50609080.71680069
2017-09-18,5.097499847412109,5.15749979019165,5.025000095367432,5.042500019073486,4.319892406463623,8383600,42593927.23031044
2017-09-19,5.042500019073486,5.065000057220459,4.980000019073486,5.047500133514404,4.324175834655762,5441200,27389640.81134796
2017-09-20,5.03249979019165,5.045000076293945,5.002500057220459,5.025000095367432,4.304900646209717,4860000,24427575.023174286
2017-09-21,5.0,5.047500133514404,4.96750020980835,4.972499847412109,4.259923458099365,5662000,28292306.5199852
2017-09-22,4.96750020980835,5.010000228881836,4.965000152587891,5.002500057220459,4.2856245040893555,4003600,19962951.149082184
2017-09-25,5.007500171661377,5.117499828338623,5.002500057220459,5.110000133514404,4.377719402313232,4635200,23451215.22102356
2017-09-26,5.137499809265137,5.192500114440918,5.085000038146973,5.162499904632568,4.422696113586426,8520400,43832132.46560097
2017-09-27,5.195000171661377,5.242499828338623,5.125,5.212500095367432,4.465530872344971,8193600,42555510.19535065
2017-09-28,5.202499866485596,5.232500076293945,5.152500152587891,5.197500228881836,4.4526801109313965,6883600,35768907.058000565
2017-09-29,5.199999809265137,5.212500095367432,5.130000114440918,5.164999961853027,4.424837589263916,6262800,32421732.720136642
2017-10-02,5.162499904632568,5.170000076293945,5.087500095367432,5.117499828338623,4.384144306182861,6238800,32032338.601255417
2017-10-03,5.125,5.127500057220459,5.022500038146973,5.052499771118164,4.328458786010742,5561200,28261323.064374924
2017-10-04,5.022500038146973,5.072500228881836,5.007500171661377,5.0625,4.337026596069336,4735200,23871327.51932144
2017-10-05,5.074999809265137,5.132500171661377,5.054999828338623,5.130000114440918,4.394853591918945,4584000,23369804.91256714
2017-10-06,5.102499961853027,5.122499942779541,5.005000114440918,5.005000114440918,4.287765979766846,6607200,33424173.220539093
2017-10-09,5.017499923706055,5.0625,4.997499942779541,5.037499904632568,4.315608501434326,7199600,36204988.08803558
2017-10-10,5.047500133514404,5.072500228881836,4.987500190734863,5.057499885559082,4.332742214202881,7053200,35556945.273542404
2017-10-11,5.054999828338623,5.054999828338623,4.864999771118164,4.897500038146973,4.195671558380127,9236000,45885601.26686096
2017-10-12,4.897500038146973,4.922500133514404,4.829999923706055,4.875,4.176395416259766,7103200,34672495.169353485
2017-10-13,4.909999847412109,4.942500114440918,4.877500057220459,4.927499771118164,4.221372127532959,4371600,21483681.520700455
2017-10-16,4.922500133514404,4.925000190734863,4.800000190734863,4.852499961853027,4.1571197509765625,6058800,29536650.722265244
